message_category;category;Русский;English
VIEW_PERFORMER1;CUSTOMER_INTERFACE;"По фильтрам";All
VIEW_PERFORMER2;CUSTOMER_INTERFACE;Избранные;"Presentation of Performers podtip2"
VIEW_TAPE_OF_ORDERS1;CUSTOMER_INTERFACE;"По фильтрам";"Presentation Ribbon orders podtip1"
VIEW_TAPE_OF_ORDERS2;CUSTOMER_INTERFACE;"Мои размещенные заказы";"Presentation Ribbon orders podtip2"
VIEW_ELEMENT_PERFORMER_PROFILE_BUTTON;CUSTOMER_INTERFACE;Профиль;Profile
VIEW_ELEMENT_PERFORMER_TO_OFFER_THE_ORDER_BUTTON;CUSTOMER_INTERFACE;"Предложить заказ";"To offer the order"
VIEW_ELEMENT_PERFORMER_FAVOURITES_BUTTON;CUSTOMER_INTERFACE;"В избранные";"My favorits"
VIEW_ELEMENT_PERFORMER_REMOVE_BUTTON;CUSTOMER_INTERFACE;Удалить;Delete
VIEW_ELEMENT_TAPE_OF_ORDERS1_BUTTON_BROWSING;CUSTOMER_INTERFACE;Просмотр;"Presentation Lenta_zakazov_podtip1_knopka_Prosmotr"
VIEW_ELEMENT_TAPE_OF_ORDERS1_BUTTON_CUSTOMER_PROFILE;CUSTOMER_INTERFACE;Заказчик;"Presentation Lenta_zakazov_podtip1_knopka_Zakazchik"
VIEW_ELEMENT_TAPE_OF_ORDERS2_EDIT_BUTTON;CUSTOMER_INTERFACE;Редактировать;"Presentation Lenta_zakazov_podtip2_Redaktirovat"
VIEW_ELEMENT_TAPE_OF_ORDERS2_ANSWERS_TO_ORDER;CUSTOMER_INTERFACE;"Отклики на заказ";"Presentation Lenta_zakazov_Otkliki to order"
NEW_ORDER_BUTTON;CUSTOMER_INTERFACE;"Новый заказ";"New order"
VIEW_ELEMENT_PERFORMER_COMPANY_ID;CUSTOMER_INTERFACE;ID:;ID:
VIEW_ELEMENT_PERFORMER_EXPERIENCE;CUSTOMER_INTERFACE;Опыт:;Experience:
VIEW_ELEMENT_PERFORMER_SPECIALIZATION;CUSTOMER_INTERFACE;Специализация:;Specialization:
VIEW_ELEMENT_TAPE_OF_ORDERS_ORDER_ID;CUSTOMER_INTERFACE;ID:;ID:
VIEW_ELEMENT_TAPE_OF_ORDERS_DATE_OF_PLACEMENT;CUSTOMER_INTERFACE;"Дата размещения:";"Published on:"
VIEW_ELEMENT_TAPE_OF_ORDERS_BUDGET;CUSTOMER_INTERFACE;Бюджет:;Budget:
VIEW_ELEMENT_TAPE_OF_ORDERS_SHORT_DESCRIPTION;CUSTOMER_INTERFACE;"Краткое описание:";"Short description:"
VIEW_ELEMENT_TAPE_OF_ORDERS_NUMBER;CUSTOMER_INTERFACE;Количество:;Amount:
BUTTON_EDIT_PROFILE_CUSTOMER;CUSTOMER_INTERFACE;Редактировать;Edit
BUTTON_SETTINGS_CUSTOMER;CUSTOMER_INTERFACE;Настройки;Settings
BUTTON_EXIT_CUSTOMER;CUSTOMER_INTERFACE;Выход;Exit
USER_INFO_EDIT;CUSTOMER_INTERFACE;Редактировать;Edit
USER_INFO_SETTINGS;CUSTOMER_INTERFACE;Настройки;Settings
NEW_ORDER_BUTTON_CUSTOMER;CUSTOMER_INTERFACE;"Новый заказ";"New order"
VIEW_PERFORMERS;CUSTOMER_INTERFACE;Исполнители;Performers
VIEW_TAPE_OF_ORDERS;CUSTOMER_INTERFACE;"Лента заказов";"Tape orders"
