message_category;category;Русский;English
DIRECTIONS_FILTER;ALL_INTERFACES;Интерфейсы_Кнопка_ПрименитьN;
DIRECTIONS_FILTER;ALL_INTERFACES;Интерфейсы_Кнопка_ПрименитьN;
DIRECTION_N;ALL_INTERFACES;Интерфейсы_НаправлениеN;
SUBDIRECTION_N_DIRECTION_N;ALL_INTERFACES;"Интерфейсы_ПодтипN направленияN ";
COMPANY_SPECIALIZATION_FILTER;ALL_INTERFACES;"Интерфейсы_Специализация компании";
ENTER_SPECIALIZATION;ALL_INTERFACES;"Интерфейсы_Введите специализацию";
TERRITORIAL_FILTER;ALL_INTERFACES;"Интерфейсы_Территориальный фильтр";
TERRITORIAL_FILTER_COUNTRY;ALL_INTERFACES;Интерфейсы_Страна;
TERRITORIAL_FILTER_STATE;ALL_INTERFACES;Интерфейсы_Регион;
TERRITORIAL_FILTER_CITY;ALL_INTERFACES;Интерфейсы_Город;
DIRECTIONS_FILTER;ALL_INTERFACES;"Интерфейсы_Фильтр по направлениям";
DIRECTIONS_FILTER;ALL_INTERFACES;Интерфейсы_Кнопка_ПрименитьN;
DIRECTIONS_FILTER_APPLY_BUTTON;ALL_INTERFACES;Применить;
DIRECTIONS_FILTER_CLEAR_BUTTON;ALL_INTERFACES;Очистить;
COMPANY_SPECIALIZATION_FILTER_APPLY_BUTTON;ALL_INTERFACES;Применить;
COMPANY_SPECIALIZATION_FILTER_CLEAR_BUTTON;ALL_INTERFACES;Очистить;
TERRITORIAL_FILTER_APPLY_BUTTON;ALL_INTERFACES;Применить;
"TERRITORIAL_FILTER_CLEAR BUTTON";ALL_INTERFACES;Очистить;
VIEWS_BUTTON_ALL;ALL_INTERFACES;"Представление Лента заказов";
FORUMS;ALL_INTERFACES;;
VIEW_PERFORMER1;CUSTOMER_INTERFACE;"Представление Исполнители подтип1";
VIEW_PERFORMER2;CUSTOMER_INTERFACE;"Представление Исполнители подтип2";
VIEW_TAPE_OF_ORDERS1;CUSTOMER_INTERFACE;"Представление Лента заказов подтип1";
VIEW_TAPE_OF_ORDERS2;CUSTOMER_INTERFACE;"Представление Лента заказов подтип2";
VIEW_ELEMENT_PERFORMER_PROFILE_BUTTON;CUSTOMER_INTERFACE;"Представление Исполнители_кнопка_профиль";
